query_id,query_text,query_type,gold_ids,relevance_grade,notes
Q001,"探讨SWAT_Model在流域非点源污染模拟中的参数敏感性与不确定性传播机制",Academic,"[""d9d48eb948e7a36006c7d04d702c3fbb""]",2,
Q002,"我想模拟一个流域未来几十年的水文变化，用哪个模型比较好？",Colloquial,"[""d9d48eb948e7a36006c7d04d702c3fbb""]",2,
Q003,"SWAT modle怎么导入DEM和土地利用数据？",Typo/Abbr,"[""d9d48eb948e7a36006c7d04d702c3fbb""]",1,
Q004,"SWAT_Model中HydroResponseUnitData输出结果代表什么含义？",Parameter,"[""d9d48eb948e7a36006c7d04d702c3fbb""]",2,
Q005,"基于SWMM的城市暴雨径流与积水过程耦合模拟研究",Academic,"[""387e28f188717c4745a071356839ecb0""]",2,
Q006,"我想看暴雨之后城市哪里容易积水，有推荐模型吗？",Colloquial,"[""387e28f188717c4745a071356839ecb0""]",2,
Q007,"SWMM inp文件总是报错怎么处理？",Typo/Abbr,"[""387e28f188717c4745a071356839ecb0""]",1,
Q008,"SWMM中rptData和outData输出文件有什么区别？",Parameter,"[""387e28f188717c4745a071356839ecb0""]",2,
Q009,"面向复杂场景解析的Semantic Segmentation on MIT ADE20K dataset深度语义分割研究",Academic,"[""2c1ed60a8541c1b489b5c757ac250bd7""]",2,
Q010,"我有一批街景照片，想自动识别建筑和道路",Colloquial,"[""2c1ed60a8541c1b489b5c757ac250bd7""]",2,
Q011,"SemanticSegmntation ADE20K支持png格式吗？",Typo/Abbr,"[""2c1ed60a8541c1b489b5c757ac250bd7""]",1,
Q012,"Semantic Segmentation on MIT ADE20K dataset中的ImagesArchive需要zip格式吗？",Parameter,"[""2c1ed60a8541c1b489b5c757ac250bd7""]",2,
Q013,"TaiHu_Fvcom在太湖蓝藻扩散模拟中的水动力响应研究",Academic,"[""635be2b2cb97a21a3b2515c397a4c7cc""]",2,
Q014,"我想看看太湖水体污染物会往哪里扩散",Colloquial,"[""635be2b2cb97a21a3b2515c397a4c7cc""]",2,
Q015,"Taihu fvcom支持逐小时风场输入吗？",Typo/Abbr,"[""635be2b2cb97a21a3b2515c397a4c7cc""]",1,
Q016,"TaiHu_Fvcom如何设置湖泊边界条件？",Parameter,"[""635be2b2cb97a21a3b2515c397a4c7cc""]",2,
Q017,"GBHM（国产模型培训班专用）在山区流域降雨径流模拟中的应用",Academic,"[""00ac830b4da73eab8d482b2f11b537db""]",2,
Q018,"有没有适合国产环境的分布式水文模型？",Colloquial,"[""00ac830b4da73eab8d482b2f11b537db""]",1,
Q019,"GBHM 模型率定步骤有人知道吗？",Typo/Abbr,"[""00ac830b4da73eab8d482b2f11b537db""]",1,
Q020,"GBHM（国产模型培训班专用）中的土壤参数如何初始化？",Parameter,"[""00ac830b4da73eab8d482b2f11b537db""]",2,
Q021,"SEIMS在大尺度流域生态水文耦合模拟中的性能评估",Academic,"[""aa06735165c167207d1b74aca729ae9d""]",2,
Q022,"有没有能同时做水文和生态模拟的平台？",Colloquial,"[""aa06735165c167207d1b74aca729ae9d""]",1,
Q023,"SEIMS model怎么配置数据库？",Typo/Abbr,"[""aa06735165c167207d1b74aca729ae9d""]",1,
Q024,"SEIMS中的子流域划分阈值建议设置多少？",Parameter,"[""aa06735165c167207d1b74aca729ae9d""]",2,
Q025,"人工神经网络在遥感土地覆盖分类中的泛化能力研究",Academic,"[""194d22bf754d90dba57832837a650986""]",2,
Q026,"我想用AI自动识别遥感影像里的地物",Colloquial,"[""194d22bf754d90dba57832837a650986""]",2,
Q027,"ANN模型训练老是过拟合怎么办？",Typo/Abbr,"[""194d22bf754d90dba57832837a650986""]",1,
Q028,"人工神经网络中的隐藏层数量如何选择？",Parameter,"[""194d22bf754d90dba57832837a650986""]",2,
Q029,"TauDEM_D8FlowDir在复杂地形汇流方向提取中的应用",Academic,"[""77935f5ab65d5b9374578eb1d9247aea""]",2,
Q030,"我想快速生成流向图和汇流网络",Colloquial,"[""77935f5ab65d5b9374578eb1d9247aea""]",2,
Q031,"TauDEM D8FlowDir运行后没有输出tif文件",Typo/Abbr,"[""77935f5ab65d5b9374578eb1d9247aea""]",1,
Q032,"TauDEM_D8FlowDir中的D8算法与Dinf有什么区别？",Parameter,"[""77935f5ab65d5b9374578eb1d9247aea""]",2,
Q033,"WATLAC在湖泊流域水质响应模拟中的应用研究",Academic,"[""d852c0d6031104d83cdc761beed25efa""]",2,
Q034,"我想分析湖泊富营养化的成因",Colloquial,"[""d852c0d6031104d83cdc761beed25efa""]",2,
Q035,"WATLAC模型输出结果怎么看？",Typo/Abbr,"[""d852c0d6031104d83cdc761beed25efa""]",1,
Q036,"WATLAC中的营养盐输入参数如何设置？",Parameter,"[""d852c0d6031104d83cdc761beed25efa""]",2,
Q037,"AlexNet在高分辨率遥感影像分类中的迁移学习研究",Academic,"[""9f03cfb3b0491532bcf210ef331605e6""]",2,
Q038,"我想用深度学习给遥感图像自动分类",Colloquial,"[""9f03cfb3b0491532bcf210ef331605e6""]",2,
Q039,"Alexnet训练时显存不够怎么办？",Typo/Abbr,"[""9f03cfb3b0491532bcf210ef331605e6""]",1,
Q040,"AlexNet中的batch size一般设置多大？",Parameter,"[""9f03cfb3b0491532bcf210ef331605e6""]",2,
Q041,"Groundwater model of fractured karst aquifer在岩溶地下水流动模拟中的应用",Academic,"[""a391d76a16cf59adbf41bc94b3501680""]",2,
Q042,"我想模拟喀斯特地下水的流动路径",Colloquial,"[""a391d76a16cf59adbf41bc94b3501680""]",2,
Q043,"fractured karst aquifer模型支持三维模拟吗？",Typo/Abbr,"[""a391d76a16cf59adbf41bc94b3501680""]",1,
Q044,"Groundwater model of fractured karst aquifer中的渗透系数如何设定？",Parameter,"[""a391d76a16cf59adbf41bc94b3501680""]",2,
Q045,"基于随机森林的滑坡遥感灾害提取模型在震后灾害识别中的应用",Academic,"[""b7dff2afc718491ce3288d923ca80d4b""]",2,
Q046,"我想自动识别遥感图里的滑坡区域",Colloquial,"[""b7dff2afc718491ce3288d923ca80d4b""]",2,
Q047,"随机森林滑坡模型精度为什么这么低？",Typo/Abbr,"[""b7dff2afc718491ce3288d923ca80d4b""]",1,
Q048,"基于随机森林的滑坡遥感灾害提取模型中的树数量如何设置？",Parameter,"[""b7dff2afc718491ce3288d923ca80d4b""]",2,
Q049,"MaskDEM在DEM缺失区域修复中的深度学习方法研究",Academic,"[""079b27e2417f924c3a5c924be64e556e""]",2,
Q050,"我有一些DEM数据有空洞，怎么自动补全？",Colloquial,"[""079b27e2417f924c3a5c924be64e556e""]",2,
Q051,"MaskDEM推理速度太慢了怎么办？",Typo/Abbr,"[""079b27e2417f924c3a5c924be64e556e""]",1,
Q052,"MaskDEM中的mask范围需要手动标注吗？",Parameter,"[""079b27e2417f924c3a5c924be64e556e""]",2,
Q053,"地理模拟优化模型调用(GeoSOS) (国产模型培训班专用)在分布式资源调度中的应用",Academic,"[""7816289d145500fe9bfb6138ad6cd944""]",2,
Q054,"有没有能自动帮我选择最优模型的平台？",Colloquial,"[""7816289d145500fe9bfb6138ad6cd944""]",1,
Q055,"GeoSOS调用模型时报timeout怎么办？",Typo/Abbr,"[""7816289d145500fe9bfb6138ad6cd944""]",1,
